"Scan QR code to make payment.","Scan QR code to make payment."
"Waiting...","Waiting..."
"Please scan the QR Code below to make payment","Please scan the QR Code below to make payment"
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"Continue Shopping","Continue Shopping"
"Paying with PayMe","Paying with PayMe"
"Open the PayMe app","Open the PayMe app"
"Scan the PayCode to authorise payment","Scan the PayCode to authorise payment"
"Complete payment in the app and wait for confirmtion here","Complete payment in the app and wait for confirmtion here"

